ts,rpm,speed,cool,intake,thr,maf,map,lambda,run,fr,lat_s,lat_avg,lat_max,tx,rx
2025-06-28T14:59:06.279,1231,33,81,52,86,16.13,110,0.03V,1333,5.37,,,,,
2025-06-28T14:59:07.330,1303,33,80,52,86,18.58,120,0.03V,1334,6.18,,,,,
2025-06-28T14:59:07.332,,,,,,,,,,,15,6097,10201,,
2025-06-28T14:59:07.333,,,,,,,,,,,,,,18,15
2025-06-28T14:59:08.394,1391,37,80,52,86,18.58,120,0.03V,1334,6.18,,,,,
2025-06-28T14:59:09.451,1391,40,80,52,86,22.55,129,0.03V,1334,7.50,,,,,
2025-06-28T14:59:09.453,,,,,,,,,,,12,5551,10427,,
2025-06-28T14:59:09.454,,,,,,,,,,,,,,18,12
2025-06-28T14:59:10.497,1542,42,80,52,86,22.55,129,0.03V,1337,7.50,,,,,
2025-06-28T14:59:11.556,1617,44,81,52,86,25.24,129,0.03V,1338,8.40,,,,,
2025-06-28T14:59:11.558,,,,,,,,,,,10,5681,10409,,
2025-06-28T14:59:11.560,,,,,,,,,,,,,,18,10
2025-06-28T14:59:12.623,1675,45,81,52,86,25.86,130,0.03V,1338,8.60,,,,,
2025-06-28T14:59:13.677,1726,45,81,52,86,26.30,129,0.03V,1341,8.75,,,,,
2025-06-28T14:59:13.679,,,,,,,,,,,13,6150,10040,,
2025-06-28T14:59:13.680,,,,,,,,,,,,,,18,13
2025-06-28T14:59:14.735,1756,47,81,52,86,26.30,129,0.03V,1341,8.75,,,,,
2025-06-28T14:59:15.784,1848,50,82,53,86,32.24,129,0.03V,1343,10.73,,,,,
2025-06-28T14:59:15.786,,,,,,,,,,,13,5573,10251,,
2025-06-28T14:59:15.787,,,,,,,,,,,,,,18,13
2025-06-28T14:59:16.850,1927,50,82,52,86,30.77,143,0.03V,1344,10.24,,,,,
2025-06-28T14:59:17.908,1985,50,82,52,86,28.02,124,0.03V,1345,9.32,,,,,
2025-06-28T14:59:17.910,,,,,,,,,,,13,6392,10605,,
2025-06-28T14:59:17.911,,,,,,,,,,,,,,18,13
2025-06-28T14:59:18.968,1942,50,82,51,86,28.02,113,0.03V,1346,9.32,,,,,
2025-06-28T14:59:20.030,1933,52,83,51,86,24.41,110,0.03V,1347,8.12,,,,,
2025-06-28T14:59:20.031,,,,,,,,,,,13,6868,10991,,
2025-06-28T14:59:20.033,,,,,,,,,,,,,,18,13
2025-06-28T14:59:21.108,1919,52,83,51,86,24.41,111,0.03V,1348,8.12,,,,,
2025-06-28T14:59:22.169,1921,52,83,51,86,25.74,111,0.03V,1349,8.56,,,,,
2025-06-28T14:59:22.170,,,,,,,,,,,10,6263,10754,,
2025-06-28T14:59:22.171,,,,,,,,,,,,,,18,10
2025-06-28T14:59:23.224,2023,55,83,53,86,48.41,194,0.03V,1350,16.11,,,,,
2025-06-28T14:59:24.292,2232,55,83,55,86,55.91,208,0.03V,1350,18.60,,,,,
2025-06-28T14:59:24.293,,,,,,,,,,,15,5448,10119,,
2025-06-28T14:59:24.294,,,,,,,,,,,,,,18,15
2025-06-28T14:59:25.357,2337,64,82,55,86,40.80,208,0.03V,1350,13.58,,,,,
2025-06-28T14:59:26.419,2337,61,82,55,86,30.55,123,0.03V,1353,10.17,,,,,
2025-06-28T14:59:26.421,,,,,,,,,,,10,5904,9965,,
2025-06-28T14:59:26.422,,,,,,,,,,,,,,18,10
2025-06-28T14:59:27.473,2144,61,82,52,86,21.24,123,0.03V,1354,7.07,,,,,
2025-06-28T14:59:28.530,2144,61,82,51,86,27.24,117,0.03V,1354,9.06,,,,,
2025-06-28T14:59:28.532,,,,,,,,,,,13,4942,10181,,
2025-06-28T14:59:28.533,,,,,,,,,,,,,,18,13
2025-06-28T14:59:29.579,1846,50,82,51,86,27.24,117,0.03V,1356,9.06,,,,,
2025-06-28T14:59:30.635,1846,44,82,51,86,17.36,109,0.03V,1356,5.78,,,,,
2025-06-28T14:59:30.637,,,,,,,,,,,11,4578,9839,,
2025-06-28T14:59:30.638,,,,,,,,,,,,,,18,11
2025-06-28T14:59:31.687,1062,39,82,51,86,7.91,102,0.03V,1356,2.63,,,,,
2025-06-28T14:59:32.751,1046,39,82,51,86,9.24,101,0.03V,1356,3.07,,,,,
2025-06-28T14:59:32.753,,,,,,,,,,,11,5921,10322,,
2025-06-28T14:59:32.754,,,,,,,,,,,,,,18,11
2025-06-28T14:59:33.808,998,39,82,51,86,9.24,100,0.03V,1361,3.07,,,,,
2025-06-28T14:59:34.863,998,24,83,52,86,7.86,100,0.03V,1362,2.62,,,,,
2025-06-28T14:59:34.864,,,,,,,,,,,14,5608,10327,,
2025-06-28T14:59:34.865,,,,,,,,,,,,,,18,14
2025-06-28T14:59:35.907,1000,19,83,52,86,7.97,100,0.03V,1363,2.65,,,,,
2025-06-28T14:59:36.966,1096,19,83,52,86,13.94,106,0.03V,1363,4.64,,,,,
2025-06-28T14:59:36.968,,,,,,,,,,,10,5397,10312,,
2025-06-28T14:59:36.969,,,,,,,,,,,,,,18,10
2025-06-28T14:59:38.022,1096,23,83,52,86,18.19,118,0.03V,1365,6.05,,,,,
2025-06-28T14:59:39.069,1096,28,82,52,86,18.19,135,0.03V,1366,6.05,,,,,
2025-06-28T14:59:39.071,,,,,,,,,,,13,5403,10148,,
2025-06-28T14:59:39.071,,,,,,,,,,,,,,18,13
2025-06-28T14:59:40.117,1096,28,82,52,86,18.19,146,0.03V,1367,6.05,,,,,
2025-06-28T14:59:41.157,1096,28,82,51,86,18.19,115,0.03V,1368,6.05,,,,,
2025-06-28T14:59:41.159,,,,,,,,,,,10,6841,10180,,
2025-06-28T14:59:41.160,,,,,,,,,,,,,,18,10
2025-06-28T14:59:42.203,1096,37,82,52,86,20.52,115,0.03V,1369,6.83,,,,,
2025-06-28T14:59:43.247,1489,40,82,52,86,26.22,115,0.03V,1370,8.72,,,,,
2025-06-28T14:59:43.249,,,,,,,,,,,11,4995,10076,,
2025-06-28T14:59:43.250,,,,,,,,,,,,,,18,11
2025-06-28T14:59:44.317,1596,40,82,53,86,31.97,115,0.03V,1371,10.64,,,,,
2025-06-28T14:59:45.372,1686,40,81,53,86,26.72,135,0.03V,1371,8.89,,,,,
2025-06-28T14:59:45.374,,,,,,,,,,,11,6252,10277,,
2025-06-28T14:59:45.375,,,,,,,,,,,,,,18,11
2025-06-28T14:59:46.432,1686,40,82,52,86,25.66,135,0.03V,1373,8.54,,,,,
2025-06-28T14:59:47.477,1655,45,82,52,86,13.08,112,0.03V,1374,4.35,,,,,
